formula     mp_id       data        prediction  
TmNiPb      mp-1208118  -1          0           1
CeGaRh      mp-1102417  -1          1           1
TiO2        mp-2420244  -1          0           1
Ge2Mo       mp-13688    1           1           1
CaSnPt      mp-1102040  -1          0           1
ErGaNi      mp-1102207  -1          0           1
TlAgS       mp-1095594  0           0           1
SrNiGe      mp-1102589  -1          0           1
TmGeIr      mp-1102700  -1          0           1
YbAgSb      mp-9440     0           0           1
PrGaPt      mp-1101824  -1          0           1
ZrAs2       mp-27606    1           1           1
SmNiSn      mp-1104463  -1          0           1
Sc2Pt       mp-11550    1           0           1
HoGaCo      mp-1103576  -1          0           1
SiIr2       mp-1103038  -1          0           1
Er2Pt       mp-30610    1           0           1
ErSiIr      mp-20733    1           1           1
SbOF        mp-756654   -1          0           1
SnClF       mp-27373    0           0           1
Rb2O        mp-755738   -1          0           1
Dy2Al       mp-1102728  -1          0           1
HgCl2       mp-1102919  -1          0           1
PrGaPd      mp-1102521  -1          1           1
CoBW        mp-22759    1           1           1
CeBiRh      mp-1213954  -1          0           1
SbSI        mp-973217   0           0           1
YbSbIr      mp-1102313  -1          0           1
TmSbRh      mp-1207702  -1          0           1
DySiNi      mp-1212898  -1          0           1
YbSiIr      mp-10569    0           0           1
YGaNi       mp-1102603  -1          0           1
CaH2        mp-1181926  -1          0           1
PrGaNi      mp-1103558  -1          1           1
TaNiGe      mp-22636    0           1           1
ZrPRu       mp-22268    0           0           1
NdGaPd      mp-1101803  -1          1           1
LuZnPt      mp-1210625  -1          0           1
NbSiIr      mp-21248    1           1           1
ScGaPt      mp-1102184  -1          0           1
DyGePt      mp-20739    0           0           1
ScCoGe      mp-1095261  1           0           1
ScGeIr      mp-1102855  -1          0           1
DyGeRu      mp-19986    0           0           1
DySiRh      mp-1212831  -1          1           1
CsRbO       mp-754171   -1          0           1
SmGePt      mp-20293    0           0           1
TiSiRh      mp-672645   0           0           1
MgAlSi      mp-4499     -1          0           1
Tm2Pt       mp-1102133  -1          0           1
LaSbRh      mp-1211458  -1          0           1
ErNiGe      mp-20676    0           0           1
ZrSiIr      mp-1102869  -1          1           1
Yb2Ga       mp-1102309  -1          0           1
LuCoSi      mp-1102787  -1          0           1
Ni2Ge       mp-17383    1           1           1
HfNiSb      mp-1212231  -1          0           1
